"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration","Season","SeasonBinary","percent_white","percent_black","percent_asian","percent_housing_burden","Median_Income","percent_no_vehicle","Population","LogSum_Plant_NetGenMW"
"Aiken, SC",2101125.999,0.051,"Summer","1",67.2422217643423,24.8544432343331,1.01668972419274,43.6016696481813,63212,2.46524505183789,169865,6.32245209668471
"Alachua, FL",2306689.001,0.039,"Summer","1",64.822739151107,19.4431038612371,5.96899141669258,54.4793502258411,57566,0.994502610569353,279729,6.36298904477933
"Alachua, FL",2306689.001,0.046,"Winter","0",64.822739151107,19.4431038612371,5.96899141669258,54.4793502258411,57566,0.994502610569353,279729,6.36298904477933
"Anderson, SC",10398842.999,0.055,"Summer","1",78.1203566121843,14.9438883240791,0.999061546883554,39.0266752132538,62347,1.84057483717513,204592,7.01698502130817
"Anderson, TN",1109396.001,0.051,"Summer","1",88.5216649210598,3.16278107503524,1.31502385662749,38.7339624642138,60633,1.83852917665867,77337,6.04508659605989
"Bay, FL",4542044,0.051,"Winter","0",77.9779624975836,10.3034989367872,2.03474082461131,52.5479335321687,65999,1.8773936098985,181055,6.65725133703137
"Bay, FL",4542044,0.048,"Summer","1",77.9779624975836,10.3034989367872,2.03474082461131,52.5479335321687,65999,1.8773936098985,181055,6.65725133703137
"Berkeley, SC",9370711,0.045,"Summer","1",64.3015482739101,23.336891093644,2.3649743538776,42.3392794065701,77874,1.29257802617356,231419,6.97177254410677
"Bibb, GA",459292.126,0.043,"Summer","1",37.2127189340419,54.3122500862322,2.18965979789721,52.0326646547133,48897,1.86112979152656,156554,5.66208900003568
"Brevard, FL",5801116.999,0.041,"Summer","1",77.0652161454538,9.84488876299075,2.36735803301988,50.8401828070968,71308,2.27609973646868,610723,6.76351162456218
"Brevard, FL",5801116.999,0.055,"Winter","0",77.0652161454538,9.84488876299075,2.36735803301988,50.8401828070968,71308,2.27609973646868,610723,6.76351162456218
"Broward, FL",11933011.901,0.041,"Summer","1",47.663798420017,28.3688502334218,3.67235524422345,60.5027515751771,70331,2.67017802534594,1940907,7.07675007375364
