"CountyState","Sum_Plant_NetGenMW","average_month_PM25_concentration"
"Alachua, FL",2306689.001,14
"Bay, FL",4542044,22.1
"Bibb, GA",459292.126,9.4
"Brevard, FL",5801116.999,15.8
"Broward, FL",11933011.901,16.8
"Buncombe, NC",4015162,11.1
"Catawba, NC",7211521.001,12.4
"Charleston, SC",485839,14
"Chatham, GA",1156133.01,11.4
"Citrus, FL",15701082,17
"Clarke, GA",4012,9.7
"Cobb, GA",18428551,12.1
"Collier, FL",24775,18.1
"Cumberland, NC",51454,11.3
"Davidson, NC",12654,27.9
"Davidson, TN",122468,26
"DeKalb, GA",49.98,14.4
"Dougherty, GA",333684,13.9
"Durham, NC",12064,10
"Duval, FL",9270493.002,20
"Escambia, FL",2402200.507,13.8
"Etowah, AL",3822,14
"Florence, SC",414945.636,10.9
"Floyd, GA",416001,10.8
"Forsyth, NC",78088.001,18
"Fulton, GA",42519.998,13.6
"Glynn, GA",469177.998,10.1
"Greenville, SC",7669,17.7
"Guilford, NC",17132.001,14.7
"Gwinnett, GA",51496.001,9.2
"Hamilton, FL",102989,13.2
"Harrison, MS",2595782,10.5
"Haywood, NC",312129,6.5
"Hillsborough, FL",11117690,19.5
"Hinds, MS",3069671,13.6
"Houston, GA",471802,10.2
"Hyde, NC",146,8.4
"Jackson, MS",11971245,9.9
"Jefferson, AL",21067499,19.4
"Johnston, NC",8390,12
"Knox, TN",28582,22.9
"Lee, FL",10796959.002,16.3
"Leon, FL",1567825,15.6
"Lexington, SC",755990,10.9
"Loudon, TN",386984,10.2
"Lowndes, GA",331573.588,14
"Marion, FL",12152,17.3
"Martin, FL",9527667.008,18.9
"McMinn, TN",25045.4,12.2
"Mecklenburg, NC",34571,23.4
"Mobile, AL",15360096,12.8
"Montgomery, NC",42481.998,8.6
"Montgomery, TN",12954,23.3
"Morgan, AL",7815396,13.6
"Murray, GA",7926566,7.2
"Muscogee, GA",0,12.5
"New Hanover, NC",3927306,10
"Palm Beach, FL",27166351,16.7
"Pinellas, FL",7058966,16.8
"Pitt, NC",3770,11.7
"Polk, FL",26720533.78,14.8
"Richland, SC",2386990,8.9
"Richmond, GA",393866.073,12.9
"Roane, TN",3126432,13.3
"Rowan, NC",9341551.001,13.2
"Russell, AL",743639.64,9.6
"Santa Rosa, FL",1397625.001,13.1
"Sarasota, FL",31579,18.1
"Seminole, FL",19269,19.1
"Shelby, TN",5433169.996,19.5
"Spartanburg, SC",30838.001,12.7
"Sullivan, TN",1037290,10.7
"Sumner, TN",4450512,20.3
"Volusia, FL",9267440.002,17
"Wake, NC",182687,14.7
"Wakulla, FL",1354941,15.1
"Washington, GA",689740,12.4
"York, SC",117,8.3
