"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration"
"Aiken, SC",2101125.999,0.051
"Alachua, FL",2306689.001,0.039
"Anderson, SC",10398842.999,0.055
"Anderson, TN",1109396.001,0.051
"Bay, FL",4542044,0.048
"Berkeley, SC",9370711,0.045
"Bibb, GA",459292.126,0.043
"Brevard, FL",5801116.999,0.041
"Broward, FL",11933011.901,0.041
"Buncombe, NC",4015162,0.048
"Caldwell, NC",19,0.051
"Charleston, SC",485839,0.04
"Chatham, GA",1156133.01,0.04
"Clarke, GA",4012,0.052
"Cobb, GA",18428551,0.057
"Collier, FL",24775,0.033
"Cumberland, NC",51454,0.056
"Darlington, SC",120130,0.042
"Davidson, TN",122468,0.083
"DeKalb, GA",49.98,0.058
"Durham, NC",12064,0.055
"Duval, FL",9270493.002,0.045
"Escambia, FL",2402200.507,0.048
"Etowah, AL",3822,0.053
"Forsyth, NC",78088.001,0.057
"Fulton, GA",42519.998,0.064
"Glynn, GA",469177.998,0.039
"Greenville, SC",7669,0.058
"Guilford, NC",17132.001,0.063
"Gwinnett, GA",51496.001,0.06
"Harrison, MS",2595782,0.055
"Haywood, NC",312129,0.057
"Hillsborough, FL",11117690,0.051
"Hinds, MS",3069671,0.062
"Horry, SC",7646,0.043
"Jackson, MS",11971245,0.055
"Jefferson, AL",21067499,0.07
"Johnston, NC",8390,0.054
"Knox, TN",28582,0.062
"Lake, FL",101724,0.05
"Lauderdale, MS",674,0.052
"Lee, FL",10796959.002,0.035
"Lenoir, NC",1664,0.048
"Leon, FL",1567825,0.031
"Lincoln, NC",48752.008,0.058
"Loudon, TN",386984,0.05
"Manatee, FL",6960035,0.038
"Marion, FL",12152,0.049
"Martin, FL",9527667.008,0.031
"Martin, NC",339794.88,0.05
"Mecklenburg, NC",34571,0.076
"Mobile, AL",15360096,0.048
"Montgomery, NC",42481.998,0.048
"Morgan, AL",7815396,0.06
"Murray, GA",7926566,0.053
"Muscogee, GA",0,0.047
"New Hanover, NC",3927306,0.04
"Orange, FL",10083859,0.057
"Osceola, FL",4087265.003,0.042
"Palm Beach, FL",27166351,0.038
"Pasco, FL",3157155.999,0.055
"Person, NC",6551940,0.051
"Pinellas, FL",7058966,0.051
"Pitt, NC",3770,0.054
"Polk, FL",26720533.78,0.041
"Richland, SC",2386990,0.052
"Richmond, GA",393866.073,0.045
"Rockingham, NC",5549175,0.054
"Rowan, NC",9341551.001,0.057
"Russell, AL",743639.64,0.047
"Santa Rosa, FL",1397625.001,0.046
"Sarasota, FL",31579,0.041
"Seminole, FL",19269,0.052
"Shelby, AL",4044923,0.052
"Shelby, TN",5433169.996,0.089
"Spartanburg, SC",30838.001,0.058
"Sullivan, TN",1037290,0.061
"Sumner, TN",4450512,0.084
"Union, NC",85,0.053
"Volusia, FL",9267440.002,0.036
"Wake, NC",182687,0.063
"Wakulla, FL",1354941,0.039
"York, SC",117,0.061
