"CountyState","Sum_Plant_NetGenMW","average_month_PM25_concentration"
"Alachua, FL",2306689.001,12.7
"Bay, FL",4542044,16.5
"Bibb, GA",459292.126,16.7
"Brevard, FL",5801116.999,11.5
"Broward, FL",11933011.901,28.6
"Buncombe, NC",4015162,12.2
"Catawba, NC",7211521.001,21.1
"Charleston, SC",485839,20.7
"Chatham, GA",1156133.01,21.2
"Citrus, FL",15701082,12.1
"Clarke, GA",4012,19.6
"Cobb, GA",18428551,16.5
"Collier, FL",24775,11.8
"Cumberland, NC",51454,17
"Davidson, NC",12654,19.7
"Davidson, TN",122468,22.3
"DeKalb, GA",49.98,21.8
"Dougherty, GA",333684,23.6
"Durham, NC",12064,15
"Duval, FL",9270493.002,20.3
"Escambia, FL",2402200.507,24.1
"Etowah, AL",3822,15
"Florence, SC",414945.636,14.5
"Floyd, GA",416001,11
"Forsyth, NC",78088.001,20.7
"Fulton, GA",42519.998,14.8
"Glynn, GA",469177.998,31.2
"Greenville, SC",7669,23.7
"Guilford, NC",17132.001,18.1
"Gwinnett, GA",51496.001,16.6
"Hamilton, FL",102989,14
"Harrison, MS",2595782,17
"Haywood, NC",312129,4
"Hillsborough, FL",11117690,16.5
"Hinds, MS",3069671,19.7
"Houston, GA",471802,19.9
"Hyde, NC",146,6.8
"Jackson, MS",11971245,18.5
"Jefferson, AL",21067499,25
"Johnston, NC",8390,11
"Knox, TN",28582,20.7
"Lee, FL",10796959.002,14.5
"Leon, FL",1567825,22.9
"Lexington, SC",755990,16
"Loudon, TN",386984,14
"Lowndes, GA",331573.588,18.3
"Marion, FL",12152,24.1
"Martin, FL",9527667.008,13.2
"McMinn, TN",25045.4,13.1
"Mecklenburg, NC",34571,19
"Mobile, AL",15360096,21.1
"Montgomery, NC",42481.998,16.2
"Montgomery, TN",12954,15.7
"Morgan, AL",7815396,13.5
"Murray, GA",7926566,6.9
"Muscogee, GA",0,22.3
"New Hanover, NC",3927306,12.5
"Palm Beach, FL",27166351,29.7
"Pinellas, FL",7058966,12.9
"Pitt, NC",3770,10.5
"Polk, FL",26720533.78,23.9
"Richland, SC",2386990,9.4
"Richmond, GA",393866.073,18
"Roane, TN",3126432,11.6
"Rowan, NC",9341551.001,19.1
"Russell, AL",743639.64,21
"Santa Rosa, FL",1397625.001,28.6
"Sarasota, FL",31579,14.4
"Seminole, FL",19269,20.4
"Shelby, TN",5433169.996,14.1
"Spartanburg, SC",30838.001,18.9
"Sullivan, TN",1037290,10.8
"Sumner, TN",4450512,20
"Volusia, FL",9267440.002,14.4
"Wake, NC",182687,20.1
"Wakulla, FL",1354941,12.5
"Washington, GA",689740,40
"York, SC",117,15
