"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/02/2022","AQS","130210007","1","4.9","ug/m3 LC","27","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/05/2022","AQS","130210007","1","10.3","ug/m3 LC","53","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/08/2022","AQS","130210007","1","7.2","ug/m3 LC","40","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/11/2022","AQS","130210007","1","3.3","ug/m3 LC","18","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/14/2022","AQS","130210007","1","9.7","ug/m3 LC","52","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/17/2022","AQS","130210007","1","5.7","ug/m3 LC","32","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/20/2022","AQS","130210007","1","14","ug/m3 LC","60","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/23/2022","AQS","130210007","1","9.3","ug/m3 LC","51","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/26/2022","AQS","130210007","1","10.4","ug/m3 LC","53","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"01/29/2022","AQS","130210007","1","4.2","ug/m3 LC","23","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/01/2022","AQS","130210007","1","20.2","ug/m3 LC","72","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/04/2022","AQS","130210007","1","2.9","ug/m3 LC","16","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/07/2022","AQS","130210007","1","6.9","ug/m3 LC","38","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/10/2022","AQS","130210007","1","19.6","ug/m3 LC","71","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/13/2022","AQS","130210007","1","7.6","ug/m3 LC","42","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/16/2022","AQS","130210007","1","11.8","ug/m3 LC","56","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/19/2022","AQS","130210007","1","5.3","ug/m3 LC","29","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/22/2022","AQS","130210007","1","9.4","ug/m3 LC","52","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/25/2022","AQS","130210007","1","9.8","ug/m3 LC","52","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"02/28/2022","AQS","130210007","1","4.2","ug/m3 LC","23","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/03/2022","AQS","130210007","1","24.2","ug/m3 LC","79","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/06/2022","AQS","130210007","1","6.9","ug/m3 LC","38","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/09/2022","AQS","130210007","1","5.9","ug/m3 LC","33","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/12/2022","AQS","130210007","1","2.6","ug/m3 LC","14","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/15/2022","AQS","130210007","1","6.3","ug/m3 LC","35","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/18/2022","AQS","130210007","1","9.1","ug/m3 LC","51","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/21/2022","AQS","130210007","1","8.9","ug/m3 LC","49","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/24/2022","AQS","130210007","1","6.4","ug/m3 LC","36","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/28/2022","AQS","130210007","1","4","ug/m3 LC","22","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"03/30/2022","AQS","130210007","1","10.7","ug/m3 LC","54","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"04/02/2022","AQS","130210007","1","9.9","ug/m3 LC","52","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"04/05/2022","AQS","130210007","1","13.2","ug/m3 LC","59","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
"04/08/2022","AQS","130210007","1","7.2","ug/m3 LC","40","Macon-Alllied","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","31420","Macon, GA","13","Georgia","021","Bibb","32.7774646615604","-83.6409957140849"
