"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/01/2022","AQS","130210012","1","0.047","ppm","44","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/02/2022","AQS","130210012","1","0.057","ppm","58","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/03/2022","AQS","130210012","1","0.054","ppm","50","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/04/2022","AQS","130210012","1","0.053","ppm","49","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/05/2022","AQS","130210012","1","0.046","ppm","43","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/06/2022","AQS","130210012","1","0.035","ppm","32","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/07/2022","AQS","130210012","1","0.031","ppm","29","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/08/2022","AQS","130210012","1","0.023","ppm","21","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/09/2022","AQS","130210012","1","0.018","ppm","17","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/10/2022","AQS","130210012","1","0.026","ppm","24","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/11/2022","AQS","130210012","1","0.013","ppm","12","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/12/2022","AQS","130210012","1","0.042","ppm","39","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/13/2022","AQS","130210012","1","0.044","ppm","41","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/14/2022","AQS","130210012","1","0.045","ppm","42","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/15/2022","AQS","130210012","1","0.035","ppm","32","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/16/2022","AQS","130210012","1","0.038","ppm","35","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/17/2022","AQS","130210012","1","0.045","ppm","42","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/18/2022","AQS","130210012","1","0.03","ppm","28","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/19/2022","AQS","130210012","1","0.04","ppm","37","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/20/2022","AQS","130210012","1","0.047","ppm","44","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/21/2022","AQS","130210012","1","0.049","ppm","45","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/22/2022","AQS","130210012","1","0.044","ppm","41","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/23/2022","AQS","130210012","1","0.029","ppm","27","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/24/2022","AQS","130210012","1","0.043","ppm","40","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/25/2022","AQS","130210012","1","0.046","ppm","43","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/26/2022","AQS","130210012","1","0.045","ppm","42","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/27/2022","AQS","130210012","1","0.047","ppm","44","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/28/2022","AQS","130210012","1","0.049","ppm","45","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/29/2022","AQS","130210012","1","0.052","ppm","48","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/30/2022","AQS","130210012","1","0.054","ppm","50","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"03/31/2022","AQS","130210012","1","0.04","ppm","37","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/01/2022","AQS","130210012","1","0.042","ppm","39","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/02/2022","AQS","130210012","1","0.046","ppm","43","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/03/2022","AQS","130210012","1","0.051","ppm","47","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/04/2022","AQS","130210012","1","0.053","ppm","49","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/05/2022","AQS","130210012","1","0.028","ppm","26","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/06/2022","AQS","130210012","1","0.027","ppm","25","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/07/2022","AQS","130210012","1","0.046","ppm","43","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/08/2022","AQS","130210012","1","0.043","ppm","40","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/09/2022","AQS","130210012","1","0.038","ppm","35","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/10/2022","AQS","130210012","1","0.049","ppm","45","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/11/2022","AQS","130210012","1","0.049","ppm","45","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/12/2022","AQS","130210012","1","0.052","ppm","48","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/13/2022","AQS","130210012","1","0.037","ppm","34","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/14/2022","AQS","130210012","1","0.035","ppm","32","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/15/2022","AQS","130210012","1","0.049","ppm","45","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/16/2022","AQS","130210012","1","0.028","ppm","26","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/17/2022","AQS","130210012","1","0.034","ppm","31","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/18/2022","AQS","130210012","1","0.035","ppm","32","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/19/2022","AQS","130210012","1","0.048","ppm","44","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/20/2022","AQS","130210012","1","0.05","ppm","46","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/21/2022","AQS","130210012","1","0.041","ppm","38","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/22/2022","AQS","130210012","1","0.041","ppm","38","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/23/2022","AQS","130210012","1","0.044","ppm","41","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/24/2022","AQS","130210012","1","0.036","ppm","33","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/25/2022","AQS","130210012","1","0.038","ppm","35","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/26/2022","AQS","130210012","1","0.033","ppm","31","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/27/2022","AQS","130210012","1","0.045","ppm","42","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/28/2022","AQS","130210012","1","0.055","ppm","51","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/29/2022","AQS","130210012","1","0.055","ppm","51","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"04/30/2022","AQS","130210012","1","0.043","ppm","40","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/01/2022","AQS","130210012","1","0.031","ppm","29","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/02/2022","AQS","130210012","1","0.034","ppm","31","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
"05/03/2022","AQS","130210012","1","0.04","ppm","37","Macon-Forestry","17","100.0000","44201","Ozone","047","31420","Macon, GA","13","Georgia","021","Bibb","32.8052638843599","-83.5434927764767"
