"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/01/2022","AQS","280110002","1","0.05","ppm","46","Cleveland Delta State","13","76.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/02/2022","AQS","280110002","1","0.062","ppm","74","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/03/2022","AQS","280110002","1","0.065","ppm","84","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/04/2022","AQS","280110002","1","0.062","ppm","74","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/06/2022","AQS","280110002","1","0.034","ppm","31","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/07/2022","AQS","280110002","1","0.032","ppm","30","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/08/2022","AQS","280110002","1","0.032","ppm","30","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/09/2022","AQS","280110002","1","0.041","ppm","38","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/10/2022","AQS","280110002","1","0.045","ppm","42","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/11/2022","AQS","280110002","1","0.04","ppm","37","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/12/2022","AQS","280110002","1","0.045","ppm","42","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/13/2022","AQS","280110002","1","0.045","ppm","42","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/14/2022","AQS","280110002","1","0.045","ppm","42","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/15/2022","AQS","280110002","1","0.035","ppm","32","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/16/2022","AQS","280110002","1","0.04","ppm","37","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/17/2022","AQS","280110002","1","0.047","ppm","44","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/18/2022","AQS","280110002","1","0.038","ppm","35","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/19/2022","AQS","280110002","1","0.043","ppm","40","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/20/2022","AQS","280110002","1","0.053","ppm","49","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/21/2022","AQS","280110002","1","0.049","ppm","45","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/22/2022","AQS","280110002","1","0.042","ppm","39","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/23/2022","AQS","280110002","1","0.038","ppm","35","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/24/2022","AQS","280110002","1","0.044","ppm","41","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/25/2022","AQS","280110002","1","0.038","ppm","35","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/26/2022","AQS","280110002","1","0.046","ppm","43","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/27/2022","AQS","280110002","1","0.044","ppm","41","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/28/2022","AQS","280110002","1","0.046","ppm","43","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/29/2022","AQS","280110002","1","0.049","ppm","45","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/30/2022","AQS","280110002","1","0.044","ppm","41","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"03/31/2022","AQS","280110002","1","0.037","ppm","34","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/01/2022","AQS","280110002","1","0.043","ppm","40","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/02/2022","AQS","280110002","1","0.045","ppm","42","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/03/2022","AQS","280110002","1","0.047","ppm","44","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/04/2022","AQS","280110002","1","0.053","ppm","49","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/05/2022","AQS","280110002","1","0.044","ppm","41","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/06/2022","AQS","280110002","1","0.046","ppm","43","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/07/2022","AQS","280110002","1","0.041","ppm","38","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/08/2022","AQS","280110002","1","0.038","ppm","35","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/09/2022","AQS","280110002","1","0.046","ppm","43","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/10/2022","AQS","280110002","1","0.053","ppm","49","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/11/2022","AQS","280110002","1","0.043","ppm","40","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/12/2022","AQS","280110002","1","0.038","ppm","35","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/13/2022","AQS","280110002","1","0.033","ppm","31","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/14/2022","AQS","280110002","1","0.042","ppm","39","Cleveland Delta State","14","82.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/15/2022","AQS","280110002","1","0.041","ppm","38","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/16/2022","AQS","280110002","1","0.033","ppm","31","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/17/2022","AQS","280110002","1","0.03","ppm","28","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/18/2022","AQS","280110002","1","0.039","ppm","36","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
"04/19/2022","AQS","280110002","1","0.048","ppm","44","Cleveland Delta State","17","100.0000","44201","Ozone","087","17380","Cleveland, MS","28","Mississippi","011","Bolivar","33.750838","-90.734175"
