"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/01/2022","AQS","470010101","1","0.049","ppm","45","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/02/2022","AQS","470010101","1","0.05","ppm","46","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/03/2022","AQS","470010101","1","0.064","ppm","80","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/04/2022","AQS","470010101","1","0.058","ppm","61","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/05/2022","AQS","470010101","1","0.058","ppm","61","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/06/2022","AQS","470010101","1","0.04","ppm","37","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/07/2022","AQS","470010101","1","0.032","ppm","30","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/08/2022","AQS","470010101","1","0.033","ppm","31","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/09/2022","AQS","470010101","1","0.037","ppm","34","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/10/2022","AQS","470010101","1","0.039","ppm","36","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/11/2022","AQS","470010101","1","0.039","ppm","36","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/12/2022","AQS","470010101","1","0.042","ppm","39","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/13/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/14/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/15/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/16/2022","AQS","470010101","1","0.031","ppm","29","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/17/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/18/2022","AQS","470010101","1","0.041","ppm","38","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/19/2022","AQS","470010101","1","0.035","ppm","32","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/20/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/21/2022","AQS","470010101","1","0.05","ppm","46","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/22/2022","AQS","470010101","1","0.05","ppm","46","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/23/2022","AQS","470010101","1","0.046","ppm","43","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/24/2022","AQS","470010101","1","0.048","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/25/2022","AQS","470010101","1","0.033","ppm","31","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/26/2022","AQS","470010101","1","0.048","ppm","44","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/27/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/28/2022","AQS","470010101","1","0.042","ppm","39","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/29/2022","AQS","470010101","1","0.044","ppm","41","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/30/2022","AQS","470010101","1","0.057","ppm","58","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"03/31/2022","AQS","470010101","1","0.043","ppm","40","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/01/2022","AQS","470010101","1","0.039","ppm","36","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/02/2022","AQS","470010101","1","0.043","ppm","40","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/03/2022","AQS","470010101","1","0.043","ppm","40","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
"04/04/2022","AQS","470010101","1","0.051","ppm","47","Freels/Oak Ridge","17","100.0000","44201","Ozone","087","28940","Knoxville, TN","47","Tennessee","001","Anderson","35.96504","-84.22319"
