"County.FIPS.Code","Plant.county.name","Mean_Plant_Nameplate_CapacityMW","County","average_month_ozone_concentration","Average_Month_AQI_Value"
1,"Alachua",133.783333333333,"Alachua",0.0353793103448276,32.6551724137931
5,"Bay",661.5,"Bay",0.0364516129032258,33.6129032258064
9,"Brevard",649.52,"Brevard",0.04085,37.9166666666667
11,"Broward",818.56,"Broward",0.0384426229508197,35.7540983606557
21,"Collier",4,"Collier",0.0380967741935484,35.2903225806452
31,"Duval",334.255555555556,"Duval",0.0365978260869565,33.8586956521739
33,"Escambia",461.84,"Escambia",0.0358196721311475,33.1147540983607
57,"Hillsborough",785.483333333333,"Hillsborough",0.0384308943089431,35.5934959349593
69,"Lake",9.8,"Lake",0.038258064516129,35.4193548387097
71,"Lee",1369.95,"Lee",0.0389836065573771,36.0983606557377
73,"Leon",345.85,"Leon",0.0344137931034483,31.7586206896552
81,"Manatee",999.866666666667,"Manatee",0.0371444444444444,34.4222222222222
83,"Marion",2.4,"Marion",0.0363387096774194,33.6774193548387
85,"Martin",2448.5,"Martin",0.0387096774193548,35.8064516129032
86,"Miami Dade",27.1,"Miami-Dade",0.0395806451612903,36.9193548387097
95,"Orange",535.675,"Orange",0.0362105263157895,33.4912280701754
97,"Osceola",623.225,"Osceola",0.0369677419354839,34.1935483870968
99,"Palm Beach",990.65,"Palm Beach",0.0387096774193548,35.8870967741936
101,"Pasco",561.6,"Pasco",0.0376451612903226,34.8709677419355
103,"Pinellas",592.966666666667,"Pinellas",0.0387362637362637,35.8241758241758
105,"Polk",425.285714285714,"Polk",0.0371803278688525,34.4262295081967
111,"St Lucie",411.4,"St. Lucie",0.0402,37.2666666666667
113,"Santa Rosa",144.3,"Santa Rosa",0.0371666666666667,34.4
115,"Sarasota",6.4,"Sarasota",0.0390108695652174,36.1195652173913
117,"Seminole",4.8,"Seminole",0.0378,34.9666666666667
127,"Volusia",1057.93333333333,"Volusia",0.0395483870967742,36.6774193548387
129,"Wakulla",270.1,"Wakulla",0.0345,31.8333333333333
