"CountyState","Sum_Plant_NetGenMW","average_month_PM25_concentration"
"Alachua, FL",2306689.001,6.24677419354839
"Bay, FL",4542044,9.85806451612903
"Bibb, GA",459292.126,6.49518072289157
"Brevard, FL",5801116.999,7.39032258064516
"Broward, FL",11933011.901,7.7262987012987
"Buncombe, NC",4015162,6.29166666666667
"Catawba, NC",7211521.001,7.51639344262295
"Charleston, SC",485839,6.90396825396825
"Chatham, GA",1156133.01,6.48333333333333
"Citrus, FL",15701082,7.73529411764706
"Clarke, GA",4012,6.02704918032787
"Cobb, GA",18428551,7.43636363636364
"Collier, FL",24775,9.59444444444444
"Cumberland, NC",51454,7.76206896551724
"Davidson, NC",12654,9.38611111111111
"Davidson, TN",122468,10.4173469387755
"DeKalb, GA",49.98,8.06190476190476
"Dougherty, GA",333684,6.12368421052632
"Durham, NC",12064,5.83870967741935
"Duval, FL",9270493.002,7.7429203539823
"Escambia, FL",2402200.507,6.04193548387097
"Etowah, AL",3822,8.75161290322581
"Florence, SC",414945.636,7.51571428571429
"Floyd, GA",416001,6.86774193548387
"Forsyth, NC",78088.001,7.66071428571429
"Fulton, GA",42519.998,7.94197530864198
"Glynn, GA",469177.998,6.03728813559322
"Greenville, SC",7669,7.60086956521739
"Guilford, NC",17132.001,9.01935483870968
"Gwinnett, GA",51496.001,5.75
"Hamilton, FL",102989,7.44516129032258
"Harrison, MS",2595782,5.48225806451613
"Haywood, NC",312129,4.42857142857143
"Hillsborough, FL",11117690,7.97329192546584
"Hinds, MS",3069671,7.10962962962963
"Houston, GA",471802,6.55205479452055
"Hyde, NC",146,5.32
"Jackson, MS",11971245,5.00161290322581
"Jefferson, AL",21067499,8.2969696969697
"Johnston, NC",8390,8.01034482758621
"Knox, TN",28582,8.83089005235602
"Lee, FL",10796959.002,6.71370967741935
"Leon, FL",1567825,6.08181818181818
"Lexington, SC",755990,6.46969696969697
"Loudon, TN",386984,6.00322580645161
"Lowndes, GA",331573.588,6.46027397260274
"Marion, FL",12152,8.15333333333333
"Martin, FL",9527667.008,9.26206896551724
"McMinn, TN",25045.4,9.2
"Mecklenburg, NC",34571,7.80309278350515
"Mobile, AL",15360096,6.39090909090909
"Montgomery, NC",42481.998,4.41290322580645
"Montgomery, TN",12954,9.95483870967742
"Morgan, AL",7815396,7.93698630136986
"Murray, GA",7926566,5.09
"Muscogee, GA",0,6.07375
"New Hanover, NC",3927306,5.13225806451613
"Palm Beach, FL",27166351,7.08838709677419
"Pinellas, FL",7058966,6.88285714285714
"Pitt, NC",3770,7.14516129032258
"Polk, FL",26720533.78,6.5258064516129
"Richland, SC",2386990,5.74404761904762
"Richmond, GA",393866.073,6.44520547945205
"Roane, TN",3126432,7.90322580645161
"Rowan, NC",9341551.001,7.16774193548387
"Russell, AL",743639.64,6.63055555555556
"Santa Rosa, FL",1397625.001,6.68387096774194
"Sarasota, FL",31579,7.67956989247312
"Seminole, FL",19269,7.95230769230769
"Shelby, TN",5433169.996,8.65851063829787
"Spartanburg, SC",30838.001,7.3264367816092
"Sullivan, TN",1037290,6.56451612903226
"Sumner, TN",4450512,9.70263157894737
"Volusia, FL",9267440.002,7.51290322580645
"Wake, NC",182687,8.1495145631068
"Wakulla, FL",1354941,5.63584905660377
"Washington, GA",689740,8.03709677419355
"York, SC",117,4.53548387096774
