"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration"
"Jefferson, AL",86,0.0387569060773481
"Mobile, AL",11894419,0.0300833333333333
"Morgan, AL",2769516,0.037741935483871
"Morgan, AL",13040,0.037741935483871
"Shelby, AL",4044923,0.0332258064516129
"Etowah, AL",-3822,0.0358709677419355
"Mobile, AL",1534976,0.0300833333333333
"Jefferson, AL",21067413,0.0387569060773481
"Mobile, AL",344588,0.0300833333333333
"Russell, AL",743639.64,0.0304516129032258
"Morgan, AL",5032840,0.037741935483871
"Jefferson, AL",0,0.0387569060773481
"Mobile, AL",1528810,0.0300833333333333
"Mobile, AL",57303,0.0300833333333333
"Pasco, FL",2248564,0.0325081967213115
"Duval, FL",75380,0.0296195652173913
"Leon, FL",1558740,0.023741935483871
"Duval, FL",14053,0.0296195652173913
"Pinellas, FL",3216,0.0311521739130435
"Hillsborough, FL",7698824,0.0316129032258065
"Hillsborough, FL",2898348,0.0316129032258065
"Duval, FL",4871811,0.0296195652173913
"Brevard, FL",28510,0.0264193548387097
"Polk, FL",2349879,0.0286612903225806
"Osceola, FL",3652549,0.0294193548387097
"Brevard, FL",5358681,0.0264193548387097
"Polk, FL",188109,0.0286612903225806
"Lake, FL",81236,0.0311612903225806
"Broward, FL",44198,0.0242459016393443
"Orange, FL",5847101,0.0329508196721311
"Lake, FL",20488,0.0311612903225806
"Polk, FL",40370,0.0286612903225806
"Broward, FL",3880981.9,0.0242459016393443
"Volusia, FL",120273.002,0.0285161290322581
"Alachua, FL",594154.001,0.0274516129032258
"Alachua, FL",609879,0.0274516129032258
"Volusia, FL",-87,0.0285161290322581
"Polk, FL",58140,0.0286612903225806
"Lee, FL",10511178.002,0.0269
"Marion, FL",12152,0.0313770491803279
"Duval, FL",560285,0.0296195652173913
"Escambia, FL",1474078,0.0320892857142857
"Hillsborough, FL",237180,0.0316129032258065
"Polk, FL",12240582,0.0286612903225806
"Hillsborough, FL",NA,0.0316129032258065
"Brevard, FL",NA,0.0264193548387097
"Brevard, FL",5414,0.0264193548387097
"Osceola, FL",391934.001,0.0294193548387097
"Escambia, FL",377798.78,0.0320892857142857
"Duval, FL",263328,0.0296195652173913
"Alachua, FL",684501,0.0274516129032258
"Duval, FL",40498,0.0296195652173913
"Osceola, FL",41563.002,0.0294193548387097
"Bay, FL",4542044,0.0296129032258065
"Broward, FL",314944.001,0.0242459016393443
"Lee, FL",285781,0.0269
"Manatee, FL",6768666,0.0272647058823529
"Manatee, FL",0,0.0272647058823529
"Martin, FL",9527667.008,0.0233548387096774
"Hillsborough, FL",136650,0.0316129032258065
"Alachua, FL",NA,0.0274516129032258
"Polk, FL",201829,0.0286612903225806
"Hillsborough, FL",146688,0.0316129032258065
"Polk, FL",349264,0.0286612903225806
"Polk, FL",99913,0.0286612903225806
"Polk, FL",363173,0.0286612903225806
"Duval, FL",3313756,0.0296195652173913
"Palm Beach, FL",69092,0.0238360655737705
"Brevard, FL",408511.999,0.0264193548387097
"Polk, FL",372939.78,0.0286612903225806
"Orange, FL",1020634,0.0329508196721311
"Osceola, FL",1219,0.0294193548387097
"Polk, FL",1889302,0.0286612903225806
"Pinellas, FL",6630487,0.0311521739130435
"Palm Beach, FL",317129,0.0238360655737705
"Palm Beach, FL",476956,0.0238360655737705
"Pasco, FL",182459,0.0325081967213115
"Santa Rosa, FL",79601.001,0.0324516129032258
"Escambia, FL",527922.73,0.0320892857142857
"Escambia, FL",22376,0.0320892857142857
"Pinellas, FL",425263,0.0311521739130435
"Polk, FL",7301005,0.0286612903225806
"Broward, FL",7248285,0.0242459016393443
"Orange, FL",216,0.0329508196721311
"Palm Beach, FL",6765631,0.0238360655737705
"Wakulla, FL",1354941,0.0276
"Volusia, FL",9147080,0.0285161290322581
"Santa Rosa, FL",1318024,0.0324516129032258
"Sarasota, FL",31579,0.027247191011236
"Seminole, FL",19269,0.033
"Duval, FL",100025,0.0296195652173913
"Pasco, FL",726132.999,0.0325081967213115
"Alachua, FL",42170,0.0274516129032258
"Escambia, FL",24.997,0.0320892857142857
"Orange, FL",3215908,0.0329508196721311
