"CountyState","Sum_Plant_NetGenMW","average_month_PM25_concentration"
"Alachua, FL",2306689.001,6.51612903225806
"Bay, FL",4542044,6.83870967741935
"Bibb, GA",459292.126,7.54
"Brevard, FL",5801116.999,6.95806451612903
"Broward, FL",11933011.901,6.98616352201258
"Buncombe, NC",4015162,5.975
"Catawba, NC",7211521.001,9.07741935483871
"Charleston, SC",485839,6.51153846153846
"Chatham, GA",1156133.01,9.83870967741935
"Citrus, FL",15701082,6.94878048780488
"Clarke, GA",4012,8.60196078431373
"Cobb, GA",18428551,7.99
"Collier, FL",24775,7.16774193548387
"Cumberland, NC",51454,7.5551724137931
"Davidson, NC",12654,7.99166666666667
"Davidson, TN",122468,8.77829457364341
"DeKalb, GA",49.98,9.81176470588235
"Dougherty, GA",333684,9.56438356164384
"Durham, NC",12064,7.41935483870968
"Duval, FL",9270493.002,8.54035087719298
"Escambia, FL",2402200.507,9.63064516129032
"Etowah, AL",3822,7.81379310344828
"Florence, SC",414945.636,6.945
"Floyd, GA",416001,5.41935483870968
"Forsyth, NC",78088.001,7.46521739130435
"Fulton, GA",42519.998,8.83275862068965
"Glynn, GA",469177.998,9.07638888888889
"Greenville, SC",7669,9.11923076923077
"Guilford, NC",17132.001,8.84827586206896
"Gwinnett, GA",51496.001,9.40967741935484
"Hamilton, FL",102989,7.98461538461538
"Harrison, MS",2595782,7.70322580645161
"Haywood, NC",312129,1.78571428571429
"Hillsborough, FL",11117690,8.07030303030303
"Hinds, MS",3069671,8.16567164179104
"Houston, GA",471802,8.46944444444444
"Hyde, NC",146,3.7375
"Jackson, MS",11971245,7.49354838709677
"Jefferson, AL",21067499,7.68853503184713
"Johnston, NC",8390,5.67741935483871
"Knox, TN",28582,9.87720207253886
"Lee, FL",10796959.002,7.51370967741935
"Leon, FL",1567825,8.83720930232558
"Lexington, SC",755990,8.46923076923077
"Loudon, TN",386984,6.58474576271186
"Lowndes, GA",331573.588,7.775
"Marion, FL",12152,8.74838709677419
"Martin, FL",9527667.008,7.61290322580645
"McMinn, TN",25045.4,5.95483870967742
"Mecklenburg, NC",34571,7.88857142857143
"Mobile, AL",15360096,7.27647058823529
"Montgomery, NC",42481.998,7.23666666666667
"Montgomery, TN",12954,5.52258064516129
"Morgan, AL",7815396,7.41388888888889
"Murray, GA",7926566,3.12857142857143
"Muscogee, GA",0,9.08513513513513
"New Hanover, NC",3927306,6.29139784946237
"Palm Beach, FL",27166351,6.10193548387097
"Pinellas, FL",7058966,7.40849673202614
"Pitt, NC",3770,4.64516129032258
"Polk, FL",26720533.78,8.40806451612903
"Richland, SC",2386990,6.27647058823529
"Richmond, GA",393866.073,8.86716417910448
"Roane, TN",3126432,6.47096774193548
"Rowan, NC",9341551.001,8.78064516129032
"Russell, AL",743639.64,9.58787878787879
"Santa Rosa, FL",1397625.001,8.28064516129032
"Sarasota, FL",31579,8.27717391304348
"Seminole, FL",19269,7.75230769230769
"Shelby, TN",5433169.996,7.10117647058824
"Spartanburg, SC",30838.001,7.71153846153846
"Sullivan, TN",1037290,6.27666666666667
"Sumner, TN",4450512,7.11463414634146
"Volusia, FL",9267440.002,8.16451612903226
"Wake, NC",182687,7.28854166666667
"Wakulla, FL",1354941,6.59019607843137
"Washington, GA",689740,9.76129032258065
"York, SC",117,7.9741935483871
