"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration"
"Alachua, FL",2306689.001,0.0353793103448276
"Bay, FL",4542044,0.0364516129032258
"Brevard, FL",5801116.999,0.04085
"Broward, FL",11933011.901,0.0384426229508197
"Charleston, SC",485839,0.0347666666666667
"Collier, FL",24775,0.0380967741935484
"DeKalb, GA",49.98,0.0280666666666667
"Duval, FL",9270493.002,0.0365978260869565
"Escambia, FL",2402200.507,0.0358196721311475
"Greenville, SC",7669,0.0316
"Hillsborough, FL",11117690,0.0384308943089431
"Hinds, MS",3069671,0.033258064516129
"Jefferson, AL",21067499,0.0312142857142857
"Lake, FL",101724,0.038258064516129
"Lee, FL",10796959.002,0.038983606557377
"Leon, FL",1567825,0.0344137931034483
"Manatee, FL",6960035,0.0371444444444444
"Marion, FL",12152,0.0363387096774194
"Martin, FL",9527667.008,0.0387096774193548
"Mecklenburg, NC",34571,0.0329032258064516
"Montgomery, NC",42481.998,0.0355714285714286
"Orange, FL",10083859,0.0362105263157895
"Osceola, FL",4087265.003,0.0369677419354839
"Palm Beach, FL",27166351,0.0387096774193548
"Pasco, FL",3157155.999,0.0376451612903226
"Pinellas, FL",7058966,0.0387362637362637
"Polk, FL",26720533.78,0.0371803278688525
"Richland, SC",2386990,0.0328
"Rowan, NC",9341551.001,0.0353870967741935
"Santa Rosa, FL",1397625.001,0.0371666666666667
"Sarasota, FL",31579,0.0390108695652174
"Seminole, FL",19269,0.0378
"Shelby, TN",5433169.996,0.0325161290322581
"Volusia, FL",9267440.002,0.0395483870967742
"Wake, NC",182687,0.0354347826086957
"Wakulla, FL",1354941,0.0345
