"CountyState","Sum_Plant_NetGenMW","average_month_ozone_concentration"
"Alachua, FL",2306689.001,0.046
"Bay, FL",4542044,0.051
"Brevard, FL",5801116.999,0.055
"Broward, FL",11933011.901,0.06
"Charleston, SC",485839,0.044
"Collier, FL",24775,0.049
"DeKalb, GA",49.98,0.041
"Duval, FL",9270493.002,0.051
"Escambia, FL",2402200.507,0.05
"Greenville, SC",7669,0.041
"Hillsborough, FL",11117690,0.049
"Hinds, MS",3069671,0.047
"Jefferson, AL",21067499,0.043
"Lake, FL",101724,0.048
"Lee, FL",10796959.002,0.052
"Leon, FL",1567825,0.049
"Manatee, FL",6960035,0.048
"Marion, FL",12152,0.049
"Martin, FL",9527667.008,0.052
"Mecklenburg, NC",34571,0.04
"Montgomery, NC",42481.998,0.045
"Orange, FL",10083859,0.047
"Osceola, FL",4087265.003,0.047
"Palm Beach, FL",27166351,0.056
"Pasco, FL",3157155.999,0.052
"Pinellas, FL",7058966,0.051
"Polk, FL",26720533.78,0.048
"Richland, SC",2386990,0.041
"Rowan, NC",9341551.001,0.042
"Santa Rosa, FL",1397625.001,0.05
"Sarasota, FL",31579,0.05
"Seminole, FL",19269,0.048
"Shelby, TN",5433169.996,0.047
"Volusia, FL",9267440.002,0.05
"Wake, NC",182687,0.041
"Wakulla, FL",1354941,0.048
